store_key,store_id_canon,store_name,country,region,partner,default_channel
44,FR_044,SPORT2000 Strasbourg,FR,FR-Nord,PartnerB,store
45,FR_045,SPORT2000 Strasbourg,FR,FR-Nord,PartnerB,store
46,FR_046,SPORT2000 Marseille,FR,FR-Nord,PartnerB,store
47,FR_047,SPORT2000 Nice,FR,FR-Nord,PartnerB,store
48,FR_048,SPORT2000 Rennes,FR,FR-Nord,PartnerB,store
49,FR_049,SPORT2000 Rennes,FR,FR-Nord,PartnerB,store
50,FR_050,SPORT2000 Toulouse,FR,FR-Nord,PartnerB,online
51,IT/051,SPORT2000 Napoli,IT,IT-Nord,PartnerC,store
52,IT/052,SPORT2000 Roma,IT,IT-Nord,PartnerC,store
53,IT/053,SPORT2000 Roma,IT,IT-Nord,PartnerC,store
54,IT/054,SPORT2000 Napoli,IT,IT-Nord,PartnerC,outlet
55,IT/055,SPORT2000 Palermo,IT,IT-Nord,PartnerC,store
56,IT/056,SPORT2000 Palermo,IT,IT-Nord,PartnerC,store
57,IT/057,SPORT2000 Genova,IT,IT-Nord,PartnerC,store
58,IT/058,SPORT2000 Verona,IT,IT-Nord,PartnerC,outlet
59,IT/059,SPORT2000 Milano,IT,IT-Nord,PartnerC,store
60,IT/060,SPORT2000 Roma,IT,IT-Nord,PartnerC,store
61,IT/061,SPORT2000 Verona,IT,IT-Nord,PartnerC,store
62,IT/062,SPORT2000 Firenze,IT,IT-Nord,PartnerC,store
63,IT/063,SPORT2000 Palermo,IT,IT-Nord,PartnerC,store
64,IT/064,SPORT2000 Milano,IT,IT-Nord,PartnerC,online
65,IT/065,SPORT2000 Bologna,IT,IT-Nord,PartnerC,online
66,IT/066,SPORT2000 Napoli,IT,IT-Nord,PartnerC,store
67,IT/067,SPORT2000 Roma,IT,IT-Nord,PartnerC,outlet
68,IT/068,SPORT2000 Bologna,IT,IT-Nord,PartnerC,outlet
69,IT/069,SPORT2000 Verona,IT,IT-Nord,PartnerC,store
70,IT/070,SPORT2000 Napoli,IT,IT-Nord,PartnerC,store
71,IT/071,SPORT2000 Napoli,IT,IT-Nord,PartnerC,store
72,IT/072,SPORT2000 Verona,IT,IT-Nord,PartnerC,online
73,IT/073,SPORT2000 Bari,IT,IT-Nord,PartnerC,store
74,IT/074,SPORT2000 Milano,IT,IT-Nord,PartnerC,store
75,IT/075,SPORT2000 Firenze,IT,IT-Nord,PartnerC,outlet
76,ES-0076,SPORT2000 Bilbao,ES,ES-Centro,PartnerD,store
77,ES-0077,SPORT2000 Sevilla,ES,ES-Centro,PartnerD,outlet
78,ES-0078,SPORT2000 Barcelona,ES,ES-Centro,PartnerD,store
79,ES-0079,SPORT2000 Murcia,ES,ES-Centro,PartnerD,outlet
80,ES-0080,SPORT2000 Valencia,ES,ES-Centro,PartnerD,store
81,ES-0081,SPORT2000 Murcia,ES,ES-Centro,PartnerD,online
82,ES-0082,SPORT2000 Valencia,ES,ES-Centro,PartnerD,store
83,ES-0083,SPORT2000 Zaragoza,ES,ES-Centro,PartnerD,online
84,ES-0084,SPORT2000 Sevilla,ES,ES-Centro,PartnerD,store
85,ES-0085,SPORT2000 Zaragoza,ES,ES-Centro,PartnerD,online
86,ES-0086,SPORT2000 Malaga,ES,ES-Centro,PartnerD,store
87,ES-0087,SPORT2000 Murcia,ES,ES-Centro,PartnerD,store
88,ES-0088,SPORT2000 Sevilla,ES,ES-Centro,PartnerD,store
89,ES-0089,SPORT2000 Madrid,ES,ES-Centro,PartnerD,store
90,ES-0090,SPORT2000 Sevilla,ES,ES-Centro,PartnerD,store
91,ES-0091,SPORT2000 Madrid,ES,ES-Centro,PartnerD,store
92,ES-0092,SPORT2000 Madrid,ES,ES-Centro,PartnerD,store
93,ES-0093,SPORT2000 Madrid,ES,ES-Centro,PartnerD,outlet
94,ES-0094,SPORT2000 Barcelona,ES,ES-Centro,PartnerD,store
95,ES-0095,SPORT2000 Bilbao,ES,ES-Centro,PartnerD,store
96,ES-0096,SPORT2000 Sevilla,ES,ES-Centro,PartnerD,store
97,ES-0097,SPORT2000 Murcia,ES,ES-Centro,PartnerD,store
98,ES-0098,SPORT2000 Murcia,ES,ES-Centro,PartnerD,outlet
99,ES-0099,SPORT2000 Sevilla,ES,ES-Centro,PartnerD,store
100,ES-0100,SPORT2000 Zaragoza,ES,ES-Centro,PartnerD,store
101,NL-0101,SPORT2000 Utrecht,NL,NL-West,PartnerB,store
102,NL-0102,SPORT2000 Amsterdam,NL,NL-West,PartnerB,store
103,NL-0103,SPORT2000 Amsterdam,NL,NL-West,PartnerB,store
104,NL-0104,SPORT2000 Den Haag,NL,NL-West,PartnerB,outlet
105,NL-0105,SPORT2000 Amsterdam,NL,NL-West,PartnerB,store
106,NL-0106,SPORT2000 Rotterdam,NL,NL-West,PartnerB,store
107,NL-0107,SPORT2000 Rotterdam,NL,NL-West,PartnerB,store
108,NL-0108,SPORT2000 Den Haag,NL,NL-West,PartnerB,store
109,NL-0109,SPORT2000 Amsterdam,NL,NL-West,PartnerB,store
110,NL-0110,SPORT2000 Eindhoven,NL,NL-West,PartnerB,store
111,NL-0111,SPORT2000 Eindhoven,NL,NL-West,PartnerB,outlet
112,NL-0112,SPORT2000 Amsterdam,NL,NL-West,PartnerB,online
113,NL-0113,SPORT2000 Rotterdam,NL,NL-West,PartnerB,store
114,NL-0114,SPORT2000 Utrecht,NL,NL-West,PartnerB,store
115,NL-0115,SPORT2000 Utrecht,NL,NL-West,PartnerB,online
116,NL-0116,SPORT2000 Rotterdam,NL,NL-West,PartnerB,store
117,NL-0117,SPORT2000 Utrecht,NL,NL-West,PartnerB,store
118,NL-0118,SPORT2000 Utrecht,NL,NL-West,PartnerB,store
119,NL-0119,SPORT2000 Eindhoven,NL,NL-West,PartnerB,store
120,NL-0120,SPORT2000 Utrecht,NL,NL-West,PartnerB,store
121,NL-0121,SPORT2000 Den Haag,NL,NL-West,PartnerB,store
122,NL-0122,SPORT2000 Amsterdam,NL,NL-West,PartnerB,store
123,NL-0123,SPORT2000 Eindhoven,NL,NL-West,PartnerB,store
124,NL-0124,SPORT2000 Den Haag,NL,NL-West,PartnerB,store
125,NL-0125,SPORT2000 Eindhoven,NL,NL-West,PartnerB,store
126,BE-0126,SPORT2000 Antwerp,BE,BE-Vlaams,PartnerB,store
127,BE-0127,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,outlet
128,BE-0128,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,store
129,BE-0129,SPORT2000 Antwerp,BE,BE-Vlaams,PartnerB,store
130,BE-0130,SPORT2000 Antwerp,BE,BE-Vlaams,PartnerB,store
131,BE-0131,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,store
132,BE-0132,SPORT2000 Liege,BE,BE-Vlaams,PartnerB,store
133,BE-0133,SPORT2000 Ghent,BE,BE-Vlaams,PartnerB,online
134,BE-0134,SPORT2000 Antwerp,BE,BE-Vlaams,PartnerB,store
135,BE-0135,SPORT2000 Ghent,BE,BE-Vlaams,PartnerB,store
136,BE-0136,SPORT2000 Liege,BE,BE-Vlaams,PartnerB,store
137,BE-0137,SPORT2000 Ghent,BE,BE-Vlaams,PartnerB,store
138,BE-0138,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,store
139,BE-0139,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,store
140,BE-0140,SPORT2000 Antwerp,BE,BE-Vlaams,PartnerB,store
141,BE-0141,SPORT2000 Antwerp,BE,BE-Vlaams,PartnerB,online
142,BE-0142,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,outlet
143,BE-0143,SPORT2000 Ghent,BE,BE-Vlaams,PartnerB,store
144,BE-0144,SPORT2000 Liege,BE,BE-Vlaams,PartnerB,outlet
145,BE-0145,SPORT2000 Ghent,BE,BE-Vlaams,PartnerB,store
146,BE-0146,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,store
147,BE-0147,SPORT2000 Ghent,BE,BE-Vlaams,PartnerB,online
148,BE-0148,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,online
149,BE-0149,SPORT2000 Antwerp,BE,BE-Vlaams,PartnerB,store
150,BE-0150,SPORT2000 Brussels,BE,BE-Vlaams,PartnerB,store
151,AT-0151,SPORT2000 Graz,AT,AT-Ost,PartnerA,store
152,AT-0152,SPORT2000 Graz,AT,AT-Ost,PartnerA,store
153,AT-0153,SPORT2000 Graz,AT,AT-Ost,PartnerA,store
154,AT-0154,SPORT2000 Linz,AT,AT-Ost,PartnerA,store
155,AT-0155,SPORT2000 Linz,AT,AT-Ost,PartnerA,online
156,AT-0156,SPORT2000 Vienna,AT,AT-Ost,PartnerA,store
157,AT-0157,SPORT2000 Salzburg,AT,AT-Ost,PartnerA,outlet
158,AT-0158,SPORT2000 Vienna,AT,AT-Ost,PartnerA,store
159,AT-0159,SPORT2000 Graz,AT,AT-Ost,PartnerA,store
160,AT-0160,SPORT2000 Linz,AT,AT-Ost,PartnerA,store
161,AT-0161,SPORT2000 Salzburg,AT,AT-Ost,PartnerA,store
162,AT-0162,SPORT2000 Salzburg,AT,AT-Ost,PartnerA,store
163,AT-0163,SPORT2000 Vienna,AT,AT-Ost,PartnerA,store
164,AT-0164,SPORT2000 Graz,AT,AT-Ost,PartnerA,store
165,AT-0165,SPORT2000 Linz,AT,AT-Ost,PartnerA,store
166,AT-0166,SPORT2000 Graz,AT,AT-Ost,PartnerA,store
167,AT-0167,SPORT2000 Vienna,AT,AT-Ost,PartnerA,store
168,AT-0168,SPORT2000 Vienna,AT,AT-Ost,PartnerA,outlet
169,AT-0169,SPORT2000 Graz,AT,AT-Ost,PartnerA,store
170,AT-0170,SPORT2000 Vienna,AT,AT-Ost,PartnerA,store
171,AT-0171,SPORT2000 Salzburg,AT,AT-Ost,PartnerA,online
172,AT-0172,SPORT2000 Graz,AT,AT-Ost,PartnerA,online
173,AT-0173,SPORT2000 Graz,AT,AT-Ost,PartnerA,outlet
174,AT-0174,SPORT2000 Graz,AT,AT-Ost,PartnerA,outlet
175,AT-0175,SPORT2000 Vienna,AT,AT-Ost,PartnerA,store
176,CH-0176,SPORT2000 Bern,CH,CH-Zentral,PartnerA,outlet
177,CH-0177,SPORT2000 Basel,CH,CH-Zentral,PartnerA,outlet
178,CH-0178,SPORT2000 Geneva,CH,CH-Zentral,PartnerA,store
179,CH-0179,SPORT2000 Zurich,CH,CH-Zentral,PartnerA,store
180,CH-0180,SPORT2000 Zurich,CH,CH-Zentral,PartnerA,outlet
181,CH-0181,SPORT2000 Geneva,CH,CH-Zentral,PartnerA,store
182,CH-0182,SPORT2000 Basel,CH,CH-Zentral,PartnerA,store
183,CH-0183,SPORT2000 Geneva,CH,CH-Zentral,PartnerA,store
184,CH-0184,SPORT2000 Geneva,CH,CH-Zentral,PartnerA,store
185,CH-0185,SPORT2000 Bern,CH,CH-Zentral,PartnerA,outlet
186,CH-0186,SPORT2000 Bern,CH,CH-Zentral,PartnerA,store
187,CH-0187,SPORT2000 Basel,CH,CH-Zentral,PartnerA,store
188,CH-0188,SPORT2000 Bern,CH,CH-Zentral,PartnerA,online
189,CH-0189,SPORT2000 Zurich,CH,CH-Zentral,PartnerA,outlet
190,CH-0190,SPORT2000 Bern,CH,CH-Zentral,PartnerA,store
191,CH-0191,SPORT2000 Bern,CH,CH-Zentral,PartnerA,store
192,CH-0192,SPORT2000 Basel,CH,CH-Zentral,PartnerA,store
193,CH-0193,SPORT2000 Bern,CH,CH-Zentral,PartnerA,store
194,CH-0194,SPORT2000 Zurich,CH,CH-Zentral,PartnerA,store
195,CH-0195,SPORT2000 Geneva,CH,CH-Zentral,PartnerA,store
196,CH-0196,SPORT2000 Basel,CH,CH-Zentral,PartnerA,store
197,CH-0197,SPORT2000 Geneva,CH,CH-Zentral,PartnerA,store
198,CH-0198,SPORT2000 Zurich,CH,CH-Zentral,PartnerA,online
199,CH-0199,SPORT2000 Bern,CH,CH-Zentral,PartnerA,store
200,CH-0200,SPORT2000 Zurich,CH,CH-Zentral,PartnerA,store
201,PL-0201,SPORT2000 Wroclaw,PL,PL-Center,PartnerE,store
202,PL-0202,SPORT2000 Poznan,PL,PL-Center,PartnerE,store
203,PL-0203,SPORT2000 Wroclaw,PL,PL-Center,PartnerE,store
204,PL-0204,SPORT2000 Krakow,PL,PL-Center,PartnerE,store
205,PL-0205,SPORT2000 Poznan,PL,PL-Center,PartnerE,store
206,PL-0206,SPORT2000 Krakow,PL,PL-Center,PartnerE,store
207,PL-0207,SPORT2000 Wroclaw,PL,PL-Center,PartnerE,store
208,PL-0208,SPORT2000 Warsaw,PL,PL-Center,PartnerE,store
209,PL-0209,SPORT2000 Krakow,PL,PL-Center,PartnerE,store
210,PL-0210,SPORT2000 Gdansk,PL,PL-Center,PartnerE,store
211,PL-0211,SPORT2000 Wroclaw,PL,PL-Center,PartnerE,store
212,PL-0212,SPORT2000 Poznan,PL,PL-Center,PartnerE,store
213,PL-0213,SPORT2000 Gdansk,PL,PL-Center,PartnerE,store
214,PL-0214,SPORT2000 Krakow,PL,PL-Center,PartnerE,store
215,PL-0215,SPORT2000 Wroclaw,PL,PL-Center,PartnerE,store
216,PL-0216,SPORT2000 Gdansk,PL,PL-Center,PartnerE,store
217,PL-0217,SPORT2000 Krakow,PL,PL-Center,PartnerE,store
218,PL-0218,SPORT2000 Krakow,PL,PL-Center,PartnerE,outlet
219,PL-0219,SPORT2000 Krakow,PL,PL-Center,PartnerE,store
220,PL-0220,SPORT2000 Krakow,PL,PL-Center,PartnerE,online
221,PL-0221,SPORT2000 Gdansk,PL,PL-Center,PartnerE,outlet
222,PL-0222,SPORT2000 Warsaw,PL,PL-Center,PartnerE,store
223,PL-0223,SPORT2000 Gdansk,PL,PL-Center,PartnerE,store
224,PL-0224,SPORT2000 Poznan,PL,PL-Center,PartnerE,store
225,PL-0225,SPORT2000 Krakow,PL,PL-Center,PartnerE,store
226,CZ-0226,SPORT2000 Ostrava,CZ,CZ-Praha,PartnerE,store
227,CZ-0227,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
228,CZ-0228,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
229,CZ-0229,SPORT2000 Ostrava,CZ,CZ-Praha,PartnerE,store
230,CZ-0230,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
231,CZ-0231,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
232,CZ-0232,SPORT2000 Brno,CZ,CZ-Praha,PartnerE,store
233,CZ-0233,SPORT2000 Ostrava,CZ,CZ-Praha,PartnerE,store
234,CZ-0234,SPORT2000 Brno,CZ,CZ-Praha,PartnerE,store
235,CZ-0235,SPORT2000 Ostrava,CZ,CZ-Praha,PartnerE,outlet
236,CZ-0236,SPORT2000 Brno,CZ,CZ-Praha,PartnerE,outlet
237,CZ-0237,SPORT2000 Ostrava,CZ,CZ-Praha,PartnerE,store
238,CZ-0238,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
239,CZ-0239,SPORT2000 Brno,CZ,CZ-Praha,PartnerE,store
240,CZ-0240,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,outlet
241,CZ-0241,SPORT2000 Brno,CZ,CZ-Praha,PartnerE,store
242,CZ-0242,SPORT2000 Ostrava,CZ,CZ-Praha,PartnerE,store
243,CZ-0243,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
244,CZ-0244,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
245,CZ-0245,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
246,CZ-0246,SPORT2000 Brno,CZ,CZ-Praha,PartnerE,outlet
247,CZ-0247,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
248,CZ-0248,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
249,CZ-0249,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
250,CZ-0250,SPORT2000 Prague,CZ,CZ-Praha,PartnerE,store
251,SK-0251,SPORT2000 Kosice,SK,SK-West,PartnerE,store
252,SK-0252,SPORT2000 Kosice,SK,SK-West,PartnerE,store
253,SK-0253,SPORT2000 Kosice,SK,SK-West,PartnerE,store
254,SK-0254,SPORT2000 Bratislava,SK,SK-West,PartnerE,outlet
255,SK-0255,SPORT2000 Kosice,SK,SK-West,PartnerE,store
256,SK-0256,SPORT2000 Kosice,SK,SK-West,PartnerE,store
257,SK-0257,SPORT2000 Kosice,SK,SK-West,PartnerE,outlet
258,SK-0258,SPORT2000 Kosice,SK,SK-West,PartnerE,store
259,SK-0259,SPORT2000 Bratislava,SK,SK-West,PartnerE,store
260,SK-0260,SPORT2000 Kosice,SK,SK-West,PartnerE,store
261,SK-0261,SPORT2000 Bratislava,SK,SK-West,PartnerE,store
262,SK-0262,SPORT2000 Kosice,SK,SK-West,PartnerE,store
263,SK-0263,SPORT2000 Kosice,SK,SK-West,PartnerE,online
264,SK-0264,SPORT2000 Bratislava,SK,SK-West,PartnerE,online
265,SK-0265,SPORT2000 Bratislava,SK,SK-West,PartnerE,store
266,SK-0266,SPORT2000 Kosice,SK,SK-West,PartnerE,store
267,SK-0267,SPORT2000 Kosice,SK,SK-West,PartnerE,store
268,SK-0268,SPORT2000 Kosice,SK,SK-West,PartnerE,store
269,SK-0269,SPORT2000 Bratislava,SK,SK-West,PartnerE,store
270,SK-0270,SPORT2000 Kosice,SK,SK-West,PartnerE,store
271,SK-0271,SPORT2000 Kosice,SK,SK-West,PartnerE,store
272,SK-0272,SPORT2000 Kosice,SK,SK-West,PartnerE,store
273,SK-0273,SPORT2000 Bratislava,SK,SK-West,PartnerE,store
274,SK-0274,SPORT2000 Bratislava,SK,SK-West,PartnerE,online
275,SK-0275,SPORT2000 Kosice,SK,SK-West,PartnerE,store
276,HU-0276,SPORT2000 Budapest,HU,HU-Central,PartnerE,outlet
277,HU-0277,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
278,HU-0278,SPORT2000 Budapest,HU,HU-Central,PartnerE,online
279,HU-0279,SPORT2000 Budapest,HU,HU-Central,PartnerE,outlet
280,HU-0280,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
281,HU-0281,SPORT2000 Budapest,HU,HU-Central,PartnerE,store
282,HU-0282,SPORT2000 Budapest,HU,HU-Central,PartnerE,store
283,HU-0283,SPORT2000 Budapest,HU,HU-Central,PartnerE,store
284,HU-0284,SPORT2000 Debrecen,HU,HU-Central,PartnerE,store
285,HU-0285,SPORT2000 Budapest,HU,HU-Central,PartnerE,store
286,HU-0286,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
287,HU-0287,SPORT2000 Budapest,HU,HU-Central,PartnerE,online
288,HU-0288,SPORT2000 Budapest,HU,HU-Central,PartnerE,store
289,HU-0289,SPORT2000 Debrecen,HU,HU-Central,PartnerE,store
290,HU-0290,SPORT2000 Debrecen,HU,HU-Central,PartnerE,store
291,HU-0291,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
292,HU-0292,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
293,HU-0293,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
294,HU-0294,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
295,HU-0295,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
296,HU-0296,SPORT2000 Budapest,HU,HU-Central,PartnerE,outlet
297,HU-0297,SPORT2000 Szeged,HU,HU-Central,PartnerE,outlet
298,HU-0298,SPORT2000 Debrecen,HU,HU-Central,PartnerE,store
299,HU-0299,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
300,HU-0300,SPORT2000 Szeged,HU,HU-Central,PartnerE,store
301,SE-0301,SPORT2000 Stockholm,SE,SE-South,PartnerF,outlet
302,SE-0302,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
303,SE-0303,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
304,SE-0304,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
305,SE-0305,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
306,SE-0306,SPORT2000 Malmo,SE,SE-South,PartnerF,online
307,SE-0307,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
308,SE-0308,SPORT2000 Malmo,SE,SE-South,PartnerF,store
309,SE-0309,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
310,SE-0310,SPORT2000 Malmo,SE,SE-South,PartnerF,store
311,SE-0311,SPORT2000 Gothenburg,SE,SE-South,PartnerF,outlet
312,SE-0312,SPORT2000 Stockholm,SE,SE-South,PartnerF,store
313,SE-0313,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
314,SE-0314,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
315,SE-0315,SPORT2000 Malmo,SE,SE-South,PartnerF,store
316,SE-0316,SPORT2000 Stockholm,SE,SE-South,PartnerF,store
317,SE-0317,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
318,SE-0318,SPORT2000 Stockholm,SE,SE-South,PartnerF,store
319,SE-0319,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
320,SE-0320,SPORT2000 Malmo,SE,SE-South,PartnerF,store
321,SE-0321,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
322,SE-0322,SPORT2000 Malmo,SE,SE-South,PartnerF,online
323,SE-0323,SPORT2000 Stockholm,SE,SE-South,PartnerF,store
324,SE-0324,SPORT2000 Gothenburg,SE,SE-South,PartnerF,store
325,SE-0325,SPORT2000 Stockholm,SE,SE-South,PartnerF,store
326,DK-0326,SPORT2000 Odense,DK,DK-Hov,PartnerF,store
327,DK-0327,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,outlet
328,DK-0328,SPORT2000 Copenhagen,DK,DK-Hov,PartnerF,store
329,DK-0329,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
330,DK-0330,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
331,DK-0331,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
332,DK-0332,SPORT2000 Odense,DK,DK-Hov,PartnerF,store
333,DK-0333,SPORT2000 Odense,DK,DK-Hov,PartnerF,store
334,DK-0334,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
335,DK-0335,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
336,DK-0336,SPORT2000 Copenhagen,DK,DK-Hov,PartnerF,store
337,DK-0337,SPORT2000 Copenhagen,DK,DK-Hov,PartnerF,store
338,DK-0338,SPORT2000 Odense,DK,DK-Hov,PartnerF,store
339,DK-0339,SPORT2000 Odense,DK,DK-Hov,PartnerF,store
340,DK-0340,SPORT2000 Copenhagen,DK,DK-Hov,PartnerF,store
341,DK-0341,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
342,DK-0342,SPORT2000 Odense,DK,DK-Hov,PartnerF,store
343,DK-0343,SPORT2000 Copenhagen,DK,DK-Hov,PartnerF,outlet
344,DK-0344,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
345,DK-0345,SPORT2000 Copenhagen,DK,DK-Hov,PartnerF,store
346,DK-0346,SPORT2000 Odense,DK,DK-Hov,PartnerF,store
347,DK-0347,SPORT2000 Aarhus,DK,DK-Hov,PartnerF,store
348,DK-0348,SPORT2000 Copenhagen,DK,DK-Hov,PartnerF,store
349,DK-0349,SPORT2000 Odense,DK,DK-Hov,PartnerF,online
350,DK-0350,SPORT2000 Odense,DK,DK-Hov,PartnerF,outlet
351,NO-0351,SPORT2000 Bergen,NO,NO-Ost,PartnerF,store
352,NO-0352,SPORT2000 Oslo,NO,NO-Ost,PartnerF,store
353,NO-0353,SPORT2000 Bergen,NO,NO-Ost,PartnerF,store
354,NO-0354,SPORT2000 Bergen,NO,NO-Ost,PartnerF,store
355,NO-0355,SPORT2000 Oslo,NO,NO-Ost,PartnerF,store
356,NO-0356,SPORT2000 Bergen,NO,NO-Ost,PartnerF,store
357,NO-0357,SPORT2000 Oslo,NO,NO-Ost,PartnerF,store
358,NO-0358,SPORT2000 Oslo,NO,NO-Ost,PartnerF,store
359,NO-0359,SPORT2000 Trondheim,NO,NO-Ost,PartnerF,store
360,NO-0360,SPORT2000 Oslo,NO,NO-Ost,PartnerF,outlet
361,NO-0361,SPORT2000 Bergen,NO,NO-Ost,PartnerF,store
362,NO-0362,SPORT2000 Oslo,NO,NO-Ost,PartnerF,store
363,NO-0363,SPORT2000 Bergen,NO,NO-Ost,PartnerF,store
